week,category,weekly_rank,show_title,season_title,weekly_hours_viewed,runtime,weekly_views,cumulative_weeks_in_top_10,is_staggered_launch,episode_launch_details
6/2/24,TV (English),9,Queen Charlotte: A Bridgerton Story,N/A,20100000,6.4833,3100000,8,FALSE,
6/2/24,TV (English),10,Baby Reindeer,Baby Reindeer: Limited Series,11300000,3.9667,2800000,8,FALSE,
6/2/24,TV (Non-English),1,Raising Voices,Raising Voices: Season 1,29200000,6.05,4800000,1,FALSE,
6/2/24,TV (Non-English),2,The 8 Show,The 8 Show: Limited Series,19300000,6.9833,2800000,3,FALSE,
6/2/24,TV (Non-English),3,Demon Slayer: Kimetsu no Yaiba,Demon Slayer: Kimetsu no Yaiba: Hashira Training Arc,3300000,0,2100000,3,TRUE,"[{""episodesLaunched"":1,""countryList"":[""HK"",""MO""]},{""episodesLaunched"":3,""countryList"":[""MV"",""ID"",""PH"",""MM"",""LA"",""KR"",""VN"",""TL"",""LK"",""BN"",""PK"",""TH"",""MN"",""KH"",""NP"",""MY"",""BD"",""BT"",""JP"",""IN"",""SG"",""TW""]}]"
6/2/24,TV (Non-English),4,The Atypical Family,The Atypical Family: Limited Series,17400000,0,2100000,4,TRUE,"[{""episodesLaunched"":4,""countryList"":[""PA"",""CL"",""HN"",""BO"",""CU"",""AR"",""UY"",""NI"",""PE"",""BR"",""EC"",""PY"",""CR"",""VE"",""GQ"",""SV"",""BZ"",""PR"",""GT"",""CO"",""DO"",""MX""]},{""episodesLaunched"":9,""countryList"":[""MO"",""CC"",""MY"",""SG"",""LK"",""NR"",""HK"",""VN"",""TW"",""BT"",""WF"",""MN"",""PG"",""VU"",""BD"",""FJ"",""MV"",""SB"",""IN"",""NZ"",""KI"",""TH"",""MM"",""TL"",""KR"",""NF"",""JP"",""TK"",""WS"",""LA"",""KH"",""PF"",""NU"",""TV"",""CK"",""PH"",""NP"",""CX"",""TO"",""BN"",""PN"",""UM"",""AU"",""ID"",""NC""]},{""episodesLaunched"":10,""countryList"":[""BA"",""KN"",""CF"",""GG"",""SX"",""PW"",""GM"",""GF"",""KY"",""HM"",""FR"",""EG"",""VI"",""RO"",""FM"",""BJ"",""KG"",""TJ"",""DE"",""ZM"",""TC"",""GE"",""GR"",""CW"",""NE"",""MD"",""DM"",""PT"",""AT"",""MP"",""JE"",""TD"",""BG"",""AF"",""GP"",""TM"",""TT"",""AD"",""ZW"",""GH"",""GW"",""LY"",""BY"",""MQ"",""SZ"",""GA"",""LV"",""AO"",""ES"",""LI"",""LT"",""DK"",""AG"",""CA"",""BM"",""GD"",""IE"",""MZ"",""NO"",""ER"",""MH"",""FK"",""IR"",""SH"",""GY"",""IT"",""UG"",""YT"",""GU"",""YE"",""DJ"",""UA"",""HT"",""AZ"",""SL"",""IQ"",""LC"",""KE"",""BW"",""KZ"",""TN"",""SN"",""CH"",""SE"",""CD"",""HU"",""BF"",""PL"",""BI"",""CY"",""RW"",""KW"",""ML"",""ST"",""GL"",""BH"",""MF"",""MK"",""MA"",""US"",""QA"",""GI"",""SS"",""MT"",""CV"",""BQ"",""NA"",""MS"",""KM"",""AM"",""SO"",""SC"",""VA"",""AW"",""MW"",""NG"",""SA"",""AL"",""CG"",""OM"",""LS"",""BS"",""UZ"",""ME"",""GN"",""DZ"",""JO"",""MC"",""TZ"",""PS"",""TR"",""RS"",""NL"",""SM"",""IS"",""RU"",""EH"",""IM"",""MR"",""VC"",""LR"",""CM"",""LU"",""RE"",""VG"",""SK"",""TG"",""FO"",""AE"",""EE"",""IL"",""ET"",""PM"",""BB"",""HR"",""FI"",""PK"",""CI"",""SD"",""IO"",""CZ"",""SR"",""AS"",""SI"",""AI"",""GB"",""AQ"",""MG"",""JM"",""MU"",""ZA"",""LB"",""BL"",""BE"",""GS""]}]"
6/2/24,TV (Non-English),5,"Thank You, Next","Thank You, Next: Season 1",9700000,5.8667,1700000,4,FALSE,
6/2/24,TV (Non-English),6,Franco Escamilla: Ladies' man,N/A,2000000,1.2167,1600000,2,FALSE,
6/2/24,TV (Non-English),7,The Life You Wanted,The Life You Wanted: Limited Series,7500000,4.8667,1500000,1,FALSE,
6/2/24,TV (Non-English),8,The Asunta Case,The Asunta Case: Limited Series,6500000,5.4167,1200000,6,FALSE,
